ISBN,title,authors,category,publicationYear,totalCopies,availableCopies,shelfNumber,addedAt,lastUpdated
978-0-523-24233-0,Candide,Kingsley Amis,Romance,2024,51,51,T-16,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-391-92643-8,If on a Winter's Night a Traveler,Honoré de Balzac,Comedy,2025,274,274,I-77,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-16-671625-0,On the Road,Ford Madox Ford,Philosophy,2024,17,17,G-81,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-7016-7230-7,A Modest Proposal,Bertrand Russell,Graphic Novel,2024,197,197,A-13,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-641-33549-5,The Heart of the Matter,A.A. Milne,Romance,2025,84,84,H-99,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-588-25799-7,The Sun Also Rises,John Grisham,Psychology,2024,166,166,P-18,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-223-25479-1,Under the Volcano,Norman Mailer,Business,2025,148,148,K-19,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-501-51383-4,Ulysses,Bertrand Russell,Romance,2026,97,97,Z-87,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-939549-85-3,Of Mice and Men,Saul Bellow,Detective,2025,176,176,C-43,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-968605-65-0,To Kill a Mockingbird,Charlotte Brontë,Graphic Novel,2024,226,226,J-08,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-000-09448-0,The Hobbit,Paulo Coelho,Horror,2024,185,185,N-55,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-662-69926-2,Never Let Me Go,Edgar Rice Burroughs,Western,2025,170,170,I-74,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-3995-4095-7,Adventures of Huckleberry Finn,George Saunders,Fantasy,2025,124,124,X-16,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-55127-017-3,The Republic,Andrew Lang,Thriller,2025,161,161,E-45,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-62804-424-9,A Bend in the River,Don DeLillo,Business,2024,236,236,L-90,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-219-94119-3,A Bend in the River,Ian McEwan,Comic,2025,64,64,C-48,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-4107-8810-8,The Old Man and the Sea,James Joyce,Young Adult,2025,110,110,R-93,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-12-928094-1,The Remains of the Day,Anthony Trollope,Adventure,2025,177,177,H-03,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-299-41563-8,A Wrinkle in Time,Oscar Wilde,Mythology,2025,92,92,I-46,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-4839-2572-1,Emma,Boris Pasternak,Mythology,2024,210,210,Q-35,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-01-486356-0,Republic,Henrik Ibsen,Mythology,2025,268,268,P-11,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-416-90946-3,The Adventures of Augie March,Jacqueline Crooks,Drama,2024,196,196,U-86,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-04-516759-3,Brideshead Revisited,Samuel Beckett,Business,2025,89,89,U-67,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-5168-5882-8,Republic,Hermann Broch,Graphic Novel,2024,188,188,T-67,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-403-41324-9,The Old Man and the Sea,Frances Hodgson Burnett,Biography,2024,241,241,N-51,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-12-954519-4,"Are You There God? It's Me, Margaret",W.K. Marriott,Fantasy,2024,299,299,S-89,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-14-541248-7,Life of Pi,D.H. Lawrence,Graphic Novel,2025,78,78,F-62,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-03-144347-2,On the Road,Robert Penn Warren,Young Adult,2025,22,22,O-55,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-5006-4855-8,Grimms' Fairy Tales,Grady Ward,Mythology,2024,43,43,G-69,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-5494-3799-1,The Woman in White,Richard Yates,Thriller,2024,263,263,N-57,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-469-85610-3,The Naked and the Dead,Anne Frank,Mystery,2025,36,36,C-18,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-366-08733-4,U.S.A. Trilogy,P.G. Wodehouse,Psychology,2025,104,104,R-68,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-12-982301-8,Slaughterhouse Five,Graham Greene,Detective,2025,230,230,Y-89,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-270-85327-5,The King in Yellow,Anthony Trollope,Western,2026,253,253,Z-58,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-643-78385-0,Under the Volcano,Benjamin Disraeli,Business,2024,227,227,D-04,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-203-84438-0,The Rainbow,Joseph Heller,Drama,2025,6,6,K-61,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-112-94011-8,The Grapes of Wrath,Peter Carey,Adventure,2025,239,239,F-01,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-311-64873-3,The Day of the Locust,L. Frank Baum,Detective,2025,298,298,Q-54,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-885878-05-2,The Sound and the Fury,Thomas Hardy,Historical Fiction,2025,4,4,N-09,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-922188-29-8,Dracula,Walker Percy,Psychology,2024,112,112,E-10,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-87720-732-0,Bleak House,Henry Morley,Mystery,2025,254,254,D-48,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-64322-870-9,Tom Jones,Jack Kerouac,Poetry,2025,2,2,H-80,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-3991-3570-2,The War of the Worlds,James Dickey,Biography,2024,43,43,I-79,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-02-594476-0,Notes from the Underground,John Grisham,Classic,2024,213,213,O-07,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-7593-2437-4,Men Without Women,Bram Stoker,Young Adult,2024,98,98,T-94,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-0377-9874-0,The Iliad,Charles E. Derbyshire,Philosophy,2024,256,256,B-62,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-0352-1900-1,Long Walk to Freedom,Arthur Conan Doyle,Philosophy,2025,249,249,O-60,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-6933-3118-3,The Prime of Miss Jean Brodie,Beatrix Potter,Comedy,2024,270,270,G-57,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-7037-3601-7,Harry Potter and the Sorcerer's Stone,Guy de Maupassant,Comic,2024,226,226,S-93,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-254-27781-6,A Wrinkle in Time,John Kennedy Toole,Religion,2025,9,9,B-49,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-4749-9944-1,The Handmaid's Tale,Edgar Rice Burroughs,Horror,2024,137,137,R-42,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-231-96718-8,Gone with the Wind,Judy Blume,Mythology,2025,100,100,A-82,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-584-80358-7,Second Treatise of Government,Virginia Woolf,Children's Literature,2025,238,238,L-67,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-7301-4709-8,Faust,Richard Wagner,Mythology,2024,268,268,Y-25,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-7895-0836-2,The Adventures of Huckleberry Finn,Boris Pasternak,Psychology,2024,47,47,F-88,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-333-37244-6,The Sleepwalkers,Malcolm Lowry,Horror,2025,233,233,K-88,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-925988-17-1,The Pursuit of Love,Muriel Spark,Philosophy,2025,65,65,A-65,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-425-34357-9,Harry Potter and the Sorcerer's Stone,Karl Marx,Young Adult,2024,124,124,T-14,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-9726553-8-5,East of Eden,Niccolo Machiavelli,Comedy,2024,260,260,M-34,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-04-751617-7,As I Lay Dying,Bhagavanlal Indrajit,Young Adult,2025,14,14,Z-37,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-301-92546-2,The Red and the Black,James Ellroy,Memoir,2025,256,256,Q-56,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-84414-069-5,Great Expectations,Erich Remarque,Drama,2024,161,161,L-01,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-045-04482-2,Atonement,Charles E. Derbyshire,Psychology,2025,286,286,C-11,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-941683-48-7,Bible,Henry Fielding,Fantasy,2025,241,241,T-09,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-8205-8008-1,The Scarlet Letter,Norman Mailer,Comedy,2024,212,212,U-72,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-633-53225-3,Uncle Tom's Cabin,Alexander Pope,Drama,2025,169,169,L-29,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-8451-7522-4,Lord of the Flies,John Ormsby,Horror,2026,201,201,M-68,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-0947-7852-5,The Complete Works of Edgar Allen Poe,Evelyn Waugh,Mythology,2025,192,192,A-76,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-81234-619-7,The Corrections,J.K. Rowling,Horror,2025,200,200,Y-78,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-4860-7683-3,Paradise Lost,Daniel Defoe,Business,2025,244,244,U-24,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-13-949577-9,Dune,Marcel Proust,Mythology,2024,173,173,M-04,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-89253-513-2,The Moviegoer,Gabriel Garcia Marquez,Horror,2024,251,251,A-20,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-891254-77-2,The Wind in the Willows,Harriet Beecher Stowe,Young Adult,2025,33,33,Q-82,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-429-10679-8,Lolita,Harper Lee,Adventure,2025,209,209,U-47,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-357-70472-8,Sybil,Anne Frank,Children's Literature,2025,66,66,Q-81,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-046-80441-8,The Stand,Ralph Ellison,Horror,2024,93,93,L-41,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-6735-6002-2,The Sun Also Rises,Nancy Mitford,Mystery,2025,41,41,R-18,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-14-288594-9,The Blue Castle,José Rizal,Graphic Novel,2026,96,96,Q-92,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-7991-3765-1,The Magic Mountain,Jonathan Swift,Classic,2026,126,126,C-80,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-505-21802-5,Hamlet,Italo Calvino,Memoir,2024,159,159,O-18,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-13-904424-3,The Pickwick Papers,Anton Pavlovich Chekhov,Philosophy,2025,45,45,Y-18,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-109-87838-7,The Prime of Miss Jean Brodie,Harriet Beecher Stowe,Religion,2024,298,298,O-63,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-8186-3086-6,Slaughterhouse Five,Gustave Flaubert,Horror,2024,229,229,D-89,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-4260-0808-5,The Enchanted April,Clifford R. Adams,Detective,2025,253,253,K-39,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-242-12250-0,Brideshead Revisited,Ray Bradbury,Psychology,2025,250,250,M-61,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-365-70782-0,Animal Farm,Alice Walker,Comic,2024,97,97,Y-17,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-9953756-7-3,Revolutionary Road,Henry David Thoreau,Romance,2024,296,296,Q-48,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-887294-09-6,Great Expectations,Muriel Spark,Biography,2025,296,296,Z-28,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-936419-34-3,"20,000 Leagues Under the Sea",C.S. Lewis,Memoir,2025,117,117,W-58,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-5164-7417-2,War and Peace,Miguel de Cervantes,Mystery,2024,19,19,X-03,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-9865149-7-5,His Dark Materials,Wilhelm Grimm,Memoir,2024,71,71,H-36,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-7093-3661-4,Of Mice and Men,José Rizal,Philosophy,2024,117,117,N-90,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-254-57062-4,Brave New World,George Eliot,Classic,2025,216,216,U-99,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-13-739634-4,Uncle Tom's Cabin,Voltaire,Comic,2025,241,241,U-51,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-02-963407-0,Emma,Bhagavanlal Indrajit,Western,2024,244,244,U-25,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-60529-663-0,A Brief History of Time,Plato,Young Adult,2024,40,40,A-69,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-77951-011-2,Josefine Mutzenbacher,Louisa May Alcott,Detective,2024,287,287,H-11,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-5165-3556-9,And Then There Were None,Gustave Flaubert,Detective,2025,20,20,A-93,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-4053-2093-1,Austerlitz,William Gibson,Mystery,2025,108,108,K-25,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-18-556051-3,The Great Gatsby,Mary Shelley,Western,2026,96,96,S-59,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-455-00460-0,The Odyssey,Alexander Pope,Religion,2024,256,256,W-96,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-286-53833-3,On the Road,Louisa May Alcott,Adventure,2025,14,14,V-15,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-376-80662-8,The Odyssey,Neil Gaiman,Children's Literature,2024,68,68,I-67,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-049-39706-1,Gone with the Wind,William Gibson,Memoir,2025,167,167,X-92,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-958252-19-2,Alice's Adventures in Wonderland,Thomas Love Peacock,Historical Fiction,2025,167,167,Q-32,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-18-146412-9,A Wrinkle in Time,Wilhelm Grimm,Historical Fiction,2024,2,2,B-91,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-030-68198-8,The Magic Mountain,Henry Fielding,Mystery,2025,152,152,H-84,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-7339-7700-8,Austerlitz,William Shakespeare,Detective,2025,252,252,O-97,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-9981238-1-3,Frankenstein,Bertrand Russell,Children's Literature,2024,274,274,M-26,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-670-97425-2,Lord of the Flies,Ford Madox Ford,Classic,2025,55,55,F-19,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-7008-8811-2,Les Miserables,John Kennedy Toole,Detective,2025,257,257,V-64,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-235-96937-9,A Study in Scarlet,Albert Camus,Romance,2025,269,269,I-48,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-288-01710-2,The Great Gatsby,Benjamin Jowett,Children's Literature,2025,98,98,Q-84,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-11-283572-1,A Study in Scarlet,Bhagavanlal Indrajit,Religion,2024,78,78,A-92,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-258-57042-5,The Catcher in the Rye,Elizabeth Cleghorn Gaskell,Psychology,2025,161,161,L-44,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-86194-380-7,The Portrait of a Lady,Shivaram Parashuram Bhide,Business,2025,130,130,R-20,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-04-310716-4,The Aeneid,David Widger,Horror,2024,271,271,I-41,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-0377-8926-7,Candide,Italo Calvino,Thriller,2024,99,99,A-96,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-360-48753-6,The Works of Edgar Allan Poe,Carson McCallers,Religion,2025,173,173,X-83,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-662-01702-8,Fahrenheit 451,Henry Morley,Mystery,2025,103,103,B-96,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-685-39610-0,Dora,Lewis Carroll,Biography,2025,239,239,X-91,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-488-39372-6,The Republic,Bernard Shaw,Young Adult,2024,78,78,A-93,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-0719-1245-4,His Dark Materials,Thomas Mann,Drama,2025,228,228,Q-04,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-595-01262-6,Scoop,Anton Chekhov,Mystery,2026,254,254,V-50,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-4227-3578-7,Tristram Shandy,Louisa May Alcott,Detective,2024,142,142,L-17,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-337-38213-0,Invisible Man,Jonathan Franzen,Horror,2025,93,93,T-26,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-269-49195-2,Housekeeping,Toni Morrison,Romance,2024,23,23,Z-68,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-4046-2923-3,The Brief Wondrous Life of Oscar Wao,Plato,Memoir,2024,46,46,L-18,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-02-056384-6,Oscar and Lucinda,D.H. Lawrence,Horror,2024,119,119,H-92,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-325-99480-2,The Republic,P.G. Wodehouse,Business,2024,300,300,X-54,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-7701-0254-8,Lolita,William Shakespeare,Science Fiction,2025,162,162,Z-81,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-0742-2052-5,If on a Winter's Night a Traveler,Henry Fielding,Romance,2024,101,101,E-03,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-687-82319-2,Under the Volcano,A.A. Milne,Philosophy,2024,179,179,C-21,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-355-41263-5,Invisible Man,Voltaire,Biography,2024,260,260,R-34,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-6534-6500-2,Paradise Lost,Sir Richard Francis Burton,Detective,2025,45,45,W-92,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-937548-79-7,The Tin Drum,Emily Brontë,Western,2025,85,85,O-63,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-56155-798-1,Tess of the d'Urbervilles,Daniel Defoe,Historical Fiction,2025,93,93,E-88,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-15-830985-9,Hamlet,John Dos Passos,Drama,2024,267,267,M-33,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-114-81446-2,Lolita,J.D. Salinger,Business,2024,58,58,V-90,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-880490-33-4,The Handmaid's Tale,William Shakespeare,Mythology,2025,43,43,J-25,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-07-291345-3,"I, Claudius",William Golding,Business,2024,38,38,H-83,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-249-87056-2,Things Fall Apart,Theodore Dreiser,Children's Literature,2025,178,178,X-64,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-714-77856-0,Oliver Twist,Jacqueline Crooks,Thriller,2024,284,284,F-04,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-205-77770-9,The Waste Land,William Gibson,Memoir,2024,23,23,J-23,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-993520-37-9,Brideshead Revisited,Albert Camus,Romance,2024,298,298,D-10,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-61426-867-3,Cranford,Henry David Thoreau,Horror,2024,159,159,L-76,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-17-190445-1,Stories of Anton Chekhov,Henry David Thoreau,Poetry,2025,190,190,H-33,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-4114-9484-8,The Stranger,Michael Chabon,Western,2024,97,97,B-14,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-4727-2624-7,Never Let Me Go,Thomas Mann,Business,2025,29,29,S-23,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-4884-3219-4,And Then There Were None,Alexandre Dumas,Detective,2025,27,27,X-90,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-7923-1312-7,The Brothers Karamazov,Alan Moore and Dave Gibbons,Romance,2025,219,219,K-15,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-4209-6748-7,The Three Musketeers,Karl Marx,Romance,2025,254,254,G-39,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-881099-78-9,Of Mice and Men,Gustave Doré,Graphic Novel,2025,158,158,S-95,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-02-943014-6,A Handful of Dust,Mikhail Bulgakov,Western,2024,177,177,M-32,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-261-02981-1,The Works of Edgar Allan Poe,Thomas Love Peacock,Young Adult,2025,262,262,O-68,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-603-32359-1,Neuromancer,Ayn Rand,Horror,2025,278,278,E-69,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-81600-490-1,Beyond Good and Evil,George Eliot,Romance,2025,278,278,H-08,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-204-70202-0,The Iliad,William Gibson,Religion,2025,280,280,P-40,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-86402-606-4,The Woman in White,Graham Greene,Science Fiction,2024,100,100,H-19,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-440-60096-1,A Clockwork Orange,V.S. Naipaul,Adventure,2025,108,108,B-04,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-512-29708-2,The Complete Works of Edgar Allen Poe,Elizabeth Von Arnim,Science Fiction,2024,295,295,V-10,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-57958-493-1,Anna Karenina,Benjamin Disraeli,Mystery,2024,138,138,I-54,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-183-16394-2,The Three Musketeers,Judy Blume,Historical Fiction,2025,112,112,U-92,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-937972-77-9,Uncle Tom's Cabin,Theodore Alois Buckley,Comedy,2024,24,24,A-50,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-4378-4353-8,In Search of Lost Time,Robert Graves,Mystery,2025,159,159,Q-47,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-269-96484-5,Nostromo,H.P. Lovecraft,Business,2025,188,188,T-71,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-89157-594-8,Long Walk to Freedom,H.G. Wells,Romance,2025,38,38,D-54,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-02-637903-8,The Plague,Jonathan Swift,Mystery,2025,160,160,U-61,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-187-71986-2,East of Eden,Richard Wright,Mythology,2024,276,276,P-66,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-915101-26-6,Great Expectations,Dean Koontz,Adventure,2024,166,166,Z-89,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-01-681534-8,Oscar and Lucinda,Raymond Chandler,Horror,2025,76,76,C-89,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
